"시점",선행종합지수(2020=100),선행종합지수 전월비(%),재고순환지표(전월차)(%p),경제심리지수(전월차)(p),기계류내수출하지수(선박제외)(전월비)(%),건설수주액(전월비)(%),수출입물가비율(전월비)(%),코스피(전월비)(%),장단기금리차(전월차)(%p),선행지수 순환변동치,〔순환변동치 전월차〕(p),선행지수 전년동월비(%),〔전년동월비 전월차〕(%p),동행종합지수(2020=100),동행종합지수 전월비(%),광공업생산지수(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),건설기성액(전월비)(%),소매판매액지수(전월비)(%),내수출하지수(전월비)(%),수입액(전월비)(%),비농림어업취업자수(전월비)(%),동행지수 순환변동치,〔순환변동치 전월차〕(p),후행종합지수(2020=100),후행종합지수 전월비(%),생산자제품재고지수(전월비)(%),소비자물가지수변화율(서비스)(전월차)(%p),소비재수입액(전월비)(%),취업자수(전월비)(%),CP유통수익률(전월차)(%p)
"2022.01",107.7,0.4,1.3,-0.1,4.0,3.2,-0.7,-1.4,-0.11,101.2,0.0,3.5,-0.3,107.1,0.8,1.7,0.8,0.8,-0.4,0.8,1.9,0.2,101.1,0.4,106.5,0.4,-0.1,-0.2,3.7,0.3,0.1
"2022.02",107.7,0.0,0.1,-0.2,-0.1,-1.0,-1.6,-2.7,-0.03,100.9,-0.3,3.0,-0.5,107.5,0.4,1.0,-0.3,0.6,-0.2,0.0,0.8,0.4,101.3,0.2,107.1,0.6,0.2,0.2,2.0,0.6,0.1
"2022.03",107.9,0.2,0.2,-0.4,-0.3,6.9,-2.2,-3.4,0.13,100.7,-0.2,2.6,-0.4,107.4,-0.1,-0.2,0.2,-2.9,-0.4,-0.9,0.2,0.3,101.0,-0.3,107.4,0.3,-0.8,0.1,0.7,0.3,0.0
"2022.04",108.0,0.1,-1.7,0.1,-4.1,-4.9,-0.6,-2.0,0.25,100.5,-0.2,2.3,-0.3,107.3,-0.1,-0.8,0.9,-1.5,-0.4,-1.4,-1.7,0.4,100.6,-0.4,107.8,0.4,0.1,0.1,0.2,0.4,0.1
"2022.05",108.4,0.4,-0.1,0.3,0.8,2.4,0.0,-1.2,0.15,100.6,0.1,2.3,0.0,107.5,0.2,-0.9,1.5,1.5,0.2,-0.9,-0.9,0.1,100.7,0.1,108.2,0.4,-0.4,0.1,1.2,0.1,0.1
"2022.06",108.8,0.4,-3.4,-0.3,0.6,3.4,0.6,-2.8,0.18,100.7,0.1,2.3,0.0,107.9,0.4,-0.5,1.3,1.4,-0.5,-0.2,0.3,0.2,100.8,0.1,108.8,0.6,1.9,0.3,-0.4,0.2,0.2
"2022.07",108.8,0.0,-1.6,-2.7,1.8,7.1,0.0,-4.4,-0.17,100.4,-0.3,2.0,-0.3,108.4,0.5,-0.7,0.5,1.1,-0.3,0.8,2.1,0.1,101.0,0.2,109.5,0.6,2.1,0.3,1.8,0.1,0.3
"2022.08",109.0,0.2,0.2,-2.6,2.5,1.6,0.0,-2.0,-0.23,100.3,-0.1,1.9,-0.1,109.0,0.6,-1.1,0.6,0.0,0.9,1.2,3.5,0.1,101.4,0.4,110.2,0.6,1.6,0.2,2.9,0.1,0.3
"2022.09",109.2,0.2,4.4,-1.6,1.5,3.8,-0.2,-1.9,-0.17,100.3,0.0,1.9,0.0,109.2,0.2,-1.8,0.4,0.3,0.1,-0.2,2.0,0.1,101.3,-0.1,110.7,0.5,-0.4,0.1,3.4,0.1,0.3
"2022.10",109.5,0.3,3.4,-0.9,2.3,-16.6,-0.4,-1.8,0.00,100.3,0.0,2.0,0.1,109.3,0.1,-1.9,0.3,1.8,0.5,-0.8,0.7,0.1,101.2,-0.1,111.1,0.4,-0.7,0.0,0.0,0.0,0.5
